Epoch,Phase,Iteration,Accuracy,Loss
764,Val,1528,1.0,0.014384396982945774
768,Training,1536,1.0,0.014572309969343212
768,Val,1536,1.0,0.014272818759551921
772,Training,1544,1.0,0.014351198962274145
772,Val,1544,1.0,0.014079868050812376
776,Training,1552,1.0,0.014045514316396782
776,Val,1552,1.0,0.013964791735005444
780,Training,1560,1.0,0.01402574279184032
780,Val,1560,1.0,0.013924537511042234
784,Training,1568,1.0,0.013801185180789623
784,Val,1568,1.0,0.013719441771385791
788,Training,1576,1.0,0.014425574422145006
788,Val,1576,1.0,0.013453512874161185
792,Training,1584,1.0,0.013501071753289969
792,Val,1584,1.0,0.013434605084608708
796,Training,1592,1.0,0.013667655275919564
796,Val,1592,1.0,0.013386630093440748
800,Training,1600,1.0,0.013381788149957566
800,Val,1600,1.0,0.01329438145267127
804,Training,1608,1.0,0.013907822375792786
804,Val,1608,1.0,0.01298517319152883
808,Training,1616,1.0,0.012980470478841984
808,Val,1616,1.0,0.01292072674019894
812,Training,1624,1.0,0.012980782461208998
812,Val,1624,1.0,0.012770579159818225
816,Training,1632,1.0,0.012957932034579414
816,Val,1632,1.0,0.012790230734493887
820,Training,1640,1.0,0.012733969187641882
820,Val,1640,1.0,0.012534419224706725
824,Training,1648,1.0,0.012755578134008495
824,Val,1648,1.0,0.012524496285974518
828,Training,1656,1.0,0.012597069647271354
828,Val,1656,1.0,0.012382222623056003
832,Training,1664,1.0,0.012371905584031907
832,Val,1664,1.0,0.012309129633582582
836,Training,1672,1.0,0.012317547079423875
836,Val,1672,1.0,0.012250561682934105
840,Training,1680,1.0,0.012777241418904312
840,Val,1680,1.0,0.01198985959253375
844,Training,1688,1.0,0.012107771671557353
844,Val,1688,1.0,0.012040271783532635
848,Training,1696,1.0,0.012053333886386321
848,Val,1696,1.0,0.011981957101153452
852,Training,1704,1.0,0.012120374651352931
852,Val,1704,1.0,0.011883661630645895
856,Training,1712,1.0,0.012516514674540175
856,Val,1712,1.0,0.011698870508206734
860,Training,1720,1.0,0.011868673634340451
860,Val,1720,1.0,0.011653384326502484
864,Training,1728,1.0,0.01178288704202966
864,Val,1728,1.0,0.011626678364717154
868,Training,1736,1.0,0.011578620740864715
868,Val,1736,1.0,0.01139461054637671
872,Training,1744,1.0,0.011531812089230282
872,Val,1744,1.0,0.011341039870310904
876,Training,1752,1.0,0.011411544481882013
876,Val,1752,1.0,0.011230391514474695
880,Training,1760,1.0,0.011388635861130357
880,Val,1760,1.0,0.01119317035193058
884,Training,1768,1.0,0.011828424384977776
884,Val,1768,1.0,0.011080269434627747
888,Training,1776,1.0,0.011088785274421389
888,Val,1776,1.0,0.010978013374202487
892,Training,1784,1.0,0.011121285953895547
892,Val,1784,1.0,0.01093303197410262
896,Training,1792,1.0,0.011519512972006795
896,Val,1792,1.0,0.010813294500575249
900,Training,1800,1.0,0.011399008364189115
900,Val,1800,1.0,0.010714737566726086
904,Training,1808,1.0,0.01081163862370234
904,Val,1808,1.0,0.010696033129990687
908,Training,1816,1.0,0.010715814574166375
908,Val,1816,1.0,0.010659200115516767
912,Training,1824,1.0,0.010645376782381567
912,Val,1824,1.0,0.010534398265733363
916,Training,1832,1.0,0.010490117158179123
916,Val,1832,1.0,0.010446303658872617
920,Training,1840,1.0,0.01046464254037709
920,Val,1840,1.0,0.010411130222589143
924,Training,1848,1.0,0.010426903664137515
924,Val,1848,1.0,0.0103178798023477
928,Training,1856,1.0,0.010338720792346627
928,Val,1856,1.0,0.01028269615739315
932,Training,1864,1.0,0.010285281444091146
932,Val,1864,1.0,0.010130637939465406
936,Training,1872,1.0,0.01013536679351311
936,Val,1872,1.0,0.010090054538770411
940,Training,1880,1.0,0.010171600946519194
940,Val,1880,1.0,0.010012516539193099
944,Training,1888,1.0,0.010053677576462174
944,Val,1888,1.0,0.010002342564510484
948,Training,1896,1.0,0.010012087925410421
948,Val,1896,1.0,0.009956733795369035
952,Training,1904,1.0,0.00988291084820932
952,Val,1904,1.0,0.009836204494170945
956,Training,1912,1.0,0.010139487367090371
956,Val,1912,1.0,0.00961634083800018
960,Training,1920,1.0,0.010070665343051812
960,Val,1920,1.0,0.009552882961745956
964,Training,1928,1.0,0.009640646871926936
964,Val,1928,1.0,0.009560791852788662
968,Training,1936,1.0,0.00962306390243026
968,Val,1936,1.0,0.009577888944248734
972,Training,1944,1.0,0.010045811467679067
972,Val,1944,1.0,0.009476736497356987
976,Training,1952,1.0,0.00948846091495336
976,Val,1952,1.0,0.009447561428591558
980,Training,1960,1.0,0.009488309913139599
980,Val,1960,1.0,0.009393234763482979
984,Training,1968,1.0,0.009450498846723939
984,Val,1968,1.0,0.009307504647367192
988,Training,1976,1.0,0.009780904679446013
988,Val,1976,1.0,0.009235753370686408
992,Training,1984,1.0,0.009270071965684398
992,Val,1984,1.0,0.00922714637699737
996,Training,1992,1.0,0.009222666290495476
996,Val,1992,1.0,0.009136477284249423
1000,Training,2000,1.0,0.009204141666527145
1000,Val,2000,1.0,0.009069477153358835
1004,Training,2008,1.0,0.009504698926106362
1004,Val,2008,1.0,0.00899180688958536
1008,Training,2016,1.0,0.009031544625349922
1008,Val,2016,1.0,0.008911662328724208
1012,Training,2024,1.0,0.008952969752306014
1012,Val,2024,1.0,0.008917064600926696
1016,Training,2032,1.0,0.009237733797904761
1016,Val,2032,1.0,0.008772107556659102
1020,Training,2040,1.0,0.008900331508048368
1020,Val,2040,1.0,0.008776298779977099
1024,Training,2048,1.0,0.008804528898721341
1024,Val,2048,1.0,0.0087674852731223
1028,Training,2056,1.0,0.008770575638805676
1028,Val,2056,1.0,0.008731024510592645
1032,Training,2064,1.0,0.008764413531194833
1032,Val,2064,1.0,0.008678558062549082
1036,Training,2072,1.0,0.008683826717077582
1036,Val,2072,1.0,0.008640858953757474
1040,Training,2080,1.0,0.00867627074615807
1040,Val,2080,1.0,0.00854971959548334
1044,Training,2088,1.0,0.008556227039871928
1044,Val,2088,1.0,0.008517958044552909
1048,Training,2096,1.0,0.008518412418103364
1048,Val,2096,1.0,0.00847867091236968
1052,Training,2104,1.0,0.008548881172169367
1052,Val,2104,1.0,0.008419931281585469
1056,Training,2112,1.0,0.008428324545556837
1056,Val,2112,1.0,0.00835331919352868
1060,Training,2120,1.0,0.008417831198839714
1060,Val,2120,1.0,0.008336328187244025
1064,Training,2128,1.0,0.008343907405613095
1064,Val,2128,1.0,0.008302463152131293
1068,Training,2136,1.0,0.008337683603421167
1068,Val,2136,1.0,0.008217260812690148
1072,Training,2144,1.0,0.008296686706443294
1072,Val,2144,1.0,0.008176008245498313
1076,Training,2152,1.0,0.00847486864286184
1076,Val,2152,1.0,0.008060466366078564
1080,Training,2160,1.0,0.008080153202453786
1080,Val,2160,1.0,0.00805148068379262
1084,Training,2168,1.0,0.008086380467698363
1084,Val,2168,1.0,0.007983549074084221
1088,Training,2176,1.0,0.008072857504365271
1088,Val,2176,1.0,0.007964826884855844
1092,Training,2184,1.0,0.007978380866147234
1092,Val,2184,1.0,0.00794738011209475
1096,Training,2192,1.0,0.007998783519804181
1096,Val,2192,1.0,0.007889197446986289
1100,Training,2200,1.0,0.007885678497942743
1100,Val,2200,1.0,0.007856042035276747
1104,Training,2208,1.0,0.007873624886312283
1104,Val,2208,1.0,0.007839856209741224
1108,Training,2216,1.0,0.007888906862036318
1108,Val,2216,1.0,0.007777978317098451
1112,Training,2224,1.0,0.007720053293503558
1112,Val,2224,1.0,0.007696348848549681
1116,Training,2232,1.0,0.007769529974945304
1116,Val,2232,1.0,0.0076680489961204745
1120,Training,2240,1.0,0.007691514913343965
1120,Val,2240,1.0,0.007661052666858344
1124,Training,2248,1.0,0.007661136009096052
